Title	Author	Date	Tags	Author Info	Author Link	Work Title	Work Type	Work Minor Title	Work Link	Work ID	Work Pages	Work Rights	Work Rights Holder	Publisher	Publisher City	Date Added	Body	Body as HTML	Author Last Name First	Author File Name	Author Wikimedia Page	Work HTML Line	Work Rights HTML Line
Technology married with the humanities	Steve Jobs	March-April 1991	integral			Harvard Business Review	Article	Quality Comes to City Hall								2011-09-01 06:31:28	Technology alone is not enough. It's technology married with the liberal arts, married with the humanities, that yields the results that makes our hearts sing. Nowhere is that more true than in these post-PC devices… that need to be even easier to use than a PC, that need to be even more intuitive than a PC; and where the software and the hardware and the applications need to intertwine in an even more seamless way than they do on a PC. We think we are on the right track with this. We think we have the right architecture not just in silicon but in the organization to build these kinds of products.	<p>Technology alone is not enough. It&rsquo;s technology married with the liberal arts, married with the humanities, that yields the results that makes our hearts sing.</p> <p>Nowhere is that more true than in these post-PC devices… that need to be even easier to use than a PC, that need to be even more intuitive than a PC; and where the software and the hardware and the applications need to intertwine in an even more seamless way than they do on a PC.</p> <p>We think we are on the right track with this. We think we have the right architecture not just in silicon but in the organization to build these kinds of products.</p>	Jobs, Steve	steve-jobs	Steve_Jobs	the <span class='sourcetype'>Article</span> <cite class='majortitle'>Harvard Business Review</cite>, <cite class='minortitle'>&#8220;Quality Comes to City Hall&#8221;</cite>	
God and Morality	Frans de Waal	2013	religion, stories			The Bonobo and the Atheist	Book			0393073777				W. W. Norton &amp; Company		2013-03-24 10:29:35	It wasn't God who introduced us to morality; rather, it was the other way around. God was put into place to help us live the way we felt we ought to.	<p>It wasn&rsquo;t God who introduced us to morality; rather, it was the other way around. God was put into place to help us live the way we felt we ought to.</p>	Waal, Frans de	frans-de-waal	Frans_de_Waal	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Bonobo and the Atheist</cite>, <span class='publisher'>W. W. Norton &amp;amp; Company</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0393073777/portablewisdo-20' class='isbn'>0393073777</a> 	
That community asks for and gets chaos	Daniel Patrick Moynihan	1965	parenthood			The Negro Family: The Case for National Action										2018-01-29 13:04:02	From the wild Irish slums of the 19th century Eastern seaboard, to the riot-torn suburbs of Los Angeles, there is one unmistakable lesson in American history; a community that allows a large number of men to grow up in broken families, dominated by women, never acquiring any stable relationship to male authority, never acquiring any set of rational expectations about the future -- that community asks for and gets chaos. Crime, violence, unrest, disorder -- most particularly the furious, unrestrained lashing out at the whole social structure -- that is not only to be expected; it is very near to inevitable. And it is richly deserved.	<p>From the wild Irish slums of the 19th century Eastern seaboard, to the riot-torn suburbs of Los Angeles, there is one unmistakable lesson in American history; a community that allows a large number of men to grow up in broken families, dominated by women, never acquiring any stable relationship to male authority, never acquiring any set of rational expectations about the future &ndash; that community asks for and gets chaos. Crime, violence, unrest, disorder &ndash; most particularly the furious, unrestrained lashing out at the whole social structure &ndash; that is not only to be expected; it is very near to inevitable. And it is richly deserved.</p>	Moynihan, Daniel Patrick	daniel-patrick-moynihan	Daniel_Patrick_Moynihan	<cite class='majortitle'>The Negro Family: The Case for National Action</cite>	
Our Reply to Violence	Leonard Bernstein		art, love			unknown	unknown	speaking on the assassination of John F. Kennedy								2011-01-18 04:57:18	This will be our reply to violence: to make music more intensely, more beautifully, more devotedly than ever before. 	<p>This will be our reply to violence: to make music more intensely, more beautifully, more devotedly than ever before.</p>	Bernstein, Leonard	leonard-bernstein	Leonard_Bernstein	<cite class='minortitle'>&#8220;speaking on the assassination of John F. Kennedy&#8221;</cite>	
By Gifts One Makes Slaves	Peter Freuchen	1961	connection, equality			Book of the Eskimo	Book			B0006AWY8A				World Pub. Co.		2011-10-30 12:21:59	'Up in our country we are human!' said the hunter. 'And since we are human we help each other. We don't like to hear anybody say thanks for that. What I get today you may get tomorrow. Up here we say that by gifts one makes slaves and by whips one makes dogs.' 	<p>&lsquo;Up in our country we are human!&rsquo; said the hunter. &lsquo;And since we are human we help each other. We don&rsquo;t like to hear anybody say thanks for that. What I get today you may get tomorrow. Up here we say that by gifts one makes slaves and by whips one makes dogs.&rsquo;</p>	Freuchen, Peter	peter-freuchen	Peter_Freuchen	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Book of the Eskimo</cite>, <span class='publisher'>World Pub. Co.</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/B0006AWY8A/portablewisdo-20' class='isbn'>B0006AWY8A</a> 	
Democracy is Worst Form of Government	Winston Churchill		democracy, equality, governance			unknown	unknown									2006-11-30 14:29:32	Democracy is the worst form of government, except for all those others that have been tried.	<p>Democracy is the worst form of government, except for all those others that have been tried.</p>	Churchill, Winston	winston-churchill	Winston_Churchill		
True Character	E. O. Wilson	1998	individuals, religion, society			Consilience: The Unity of Knowledge	Book			0679450777				Alfred A. Knopf	New York	2010-10-26 20:00:28	True character arises from a deeper well than religion. It is the internalization of moral principles of a society, augmented by those tenets personally chosen by the individual, strong enough to endure through trials of solitude and adversity. The principles are fitted together into what we call integrity, literally the integrated self, wherein personal decisions feel good and true. Character is in turn the enduring source of virtue. It stands by itself and excites admiration in others. It is not obedience to authority, and while it is often consistent with and reinforced by religious belief, it is not piety.	<p>True character arises from a deeper well than religion. It is the internalization of moral principles of a society, augmented by those tenets personally chosen by the individual, strong enough to endure through trials of solitude and adversity. The principles are fitted together into what we call integrity, literally the integrated self, wherein personal decisions feel good and true. Character is in turn the enduring source of virtue. It stands by itself and excites admiration in others. It is not obedience to authority, and while it is often consistent with and reinforced by religious belief, it is not piety.</p>	Wilson, E. O.	e.-o.-wilson	E._O._Wilson	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Consilience: The Unity of Knowledge</cite>, <span class='city'>New York</span>: <span class='publisher'>Alfred A. Knopf</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0679450777/portablewisdo-20' class='isbn'>0679450777</a> 	
To simply see human beings	Charles Woodson	28 Apr 2018	humanism			2018 University of Michigan Spring Commencement Address	Speech		https://record.umich.edu/articles/woodson-encourages-graduates-help-see-humanity-others			Copyright	The Regents of the University of Michigan			2018-05-20 13:21:32	If I ask you all today to look around and tell me who you see.... When you look around, I don't want you to see black, white, Asian, I don't want you to wonder if a person is Democrat or Republican, gay or straight. When you look around, I just want you to simply see human beings -- nothing more, nothing less. And I guarantee you, if you can begin to see people that way, just as human beings, you'll begin to treat them a little differently, you'll begin to understand their points of view. 	<p>If I ask you all today to look around and tell me who you see&hellip;. When you look around, I don&rsquo;t want you to see black, white, Asian, I don&rsquo;t want you to wonder if a person is Democrat or Republican, gay or straight. When you look around, I just want you to simply see human beings &ndash; nothing more, nothing less. And I guarantee you, if you can begin to see people that way, just as human beings, you&rsquo;ll begin to treat them a little differently, you&rsquo;ll begin to understand their points of view.</p>	Woodson, Charles	charles-woodson	Charles_Woodson	the <span class='sourcetype'>Speech</span> <cite class='majortitle'><a href='https://record.umich.edu/articles/woodson-encourages-graduates-help-see-humanity-others' rel='source'>2018 University of Michigan Spring Commencement Address</a></cite>	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>The Regents of the University of Michigan</span>
Steve Jobs Ideals	Ron Johnson	01/30/2012	practical, progress			The Seattle Times	Interview	AP Interview: JC Penney CEO talks about the chain	http://seattletimes.nwsource.com/html/businesstechnology/2017375916_apusnewpenneyceotalks.html			Copyright	The Seattle TImes Company	The Seattle Times	Seattle	2012-02-04 06:27:37	Q. What ideals have you embraced from Steve Jobs? A. The importance of doing everything you do to your very best. And that the journey is the reward. If you do things well one at a time, you end up in a really good place. Don't get ahead of yourself. Control the things you can.	<p>Q. What ideals have you embraced from Steve Jobs?</p> <p>A. The importance of doing everything you do to your very best. And that the journey is the reward. If you do things well one at a time, you end up in a really good place. Don&rsquo;t get ahead of yourself. Control the things you can.</p>	Johnson, Ron	ron-johnson	Ron_Johnson	the <span class='sourcetype'>Interview</span> <cite class='majortitle'>The Seattle Times</cite>, <cite class='minortitle'>&#8220;AP Interview: JC Penney CEO talks about the chain&#8221;</cite>, <span class='city'>Seattle</span>: <span class='publisher'>The Seattle Times</span>	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>The Seattle TImes Company</span>
A Man of Value	Albert Einstein	2 May 1955	value creation			Life Magazine	Article									2017-02-15 09:59:53	Try to become not a man of success, but try rather to become a man of value.	<p>Try to become not a man of success, but try rather to become a man of value.</p>	Einstein, Albert	albert-einstein	Albert_Einstein	the <span class='sourcetype'>Article</span> <cite class='majortitle'>Life Magazine</cite>	
The Awesome Power of Culture	Yuval Noah Harari	2015	cultural evolution			Sapiens: A Brief History of Humankind	Book			0062316095		Copyright	Yuval Noah Harari	Harper Collins		2016-12-28 08:17:44	Millions of years of evolution have designed us to live and think as community members. Within a mere two centuries we have become alienated individuals. Nothing testifies better to the awesome power of culture.	<p>Millions of years of evolution have designed us to live and think as community members. Within a mere two centuries we have become alienated individuals. Nothing testifies better to the awesome power of culture.</p>	Harari, Yuval Noah	yuval-noah-harari	Yuval_Noah_Harari	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Sapiens: A Brief History of Humankind</cite>, <span class='publisher'>Harper Collins</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0062316095/portablewisdo-20' class='isbn'>0062316095</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Yuval Noah Harari</span>
History as Postmodern Collage	Joe Boyd	2006	art			White Bicycles: Making Music in the 1960s	Book			1852429100	268-269	Copyright	Joe Boyd	Serpent's Tail	London	2008-11-02 07:13:25	Sitting in Princeteon listening to old records, we became obsessed with the past. We tried to pierce the veil of time and grasp what it sounded, felt, looked and smelled like. In Harvard Square and London I met many with similar preoccupations; they didn't seem unusual at all. When old blues singers began to reappear, it delivered a rush of excitement and adrenalin. Meeting and traveling with Gary Davis and Lonnie Johnson -- even Coleman Hawkins -- armoured me against a host of disappointments. History today seems more like a postmodern collage; we are surrounded by two-dimensional representations of our heritage. Access via Amazon.com or iPod to all those boxed sets of old blues singers -- or Nick Drake, for that matter -- doesn't equate with the sense of discovery and connection we experienced.	<p>Sitting in Princeteon listening to old records, we became obsessed with the past. We tried to pierce the veil of time and grasp what it sounded, felt, looked and smelled like. In Harvard Square and London I met many with similar preoccupations; they didn&rsquo;t seem unusual at all. When old blues singers began to reappear, it delivered a rush of excitement and adrenalin. Meeting and traveling with Gary Davis and Lonnie Johnson &ndash; even Coleman Hawkins &ndash; armoured me against a host of disappointments.</p> <p>History today seems more like a postmodern collage; we are surrounded by two-dimensional representations of our heritage. Access via Amazon.com or iPod to all those boxed sets of old blues singers &ndash; or Nick Drake, for that matter &ndash; doesn&rsquo;t equate with the sense of discovery and connection we experienced.</p>	Boyd, Joe	joe-boyd	Joe_Boyd	the <span class='sourcetype'>Book</span> <cite class='majortitle'>White Bicycles: Making Music in the 1960s</cite>, <span class='city'>London</span>: <span class='publisher'>Serpent&apos;s Tail</span>, pages&nbsp;<span class='pages'>268-269</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1852429100/portablewisdo-20' class='isbn'>1852429100</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Joe Boyd</span>
A Completely Free Market	Yuval Noah Harari	2015	balance, governance			Sapiens: A Brief History of Humankind	Book			0062316095		Copyright	Yuval Noah Harari	Harper Collins		2016-12-28 12:00:21	In a completely free market, unsupervised by kings and priests, avaricious capitalists can establish monopolies or collude against their workforces. If there is a single corporation controlling all shoe factories in a country, or if all factory owners conspire to reduce wages simultaneously, then the labourers are no longer able to protect themselves by switching jobs.	<p>In a completely free market, unsupervised by kings and priests, avaricious capitalists can establish monopolies or collude against their workforces. If there is a single corporation controlling all shoe factories in a country, or if all factory owners conspire to reduce wages simultaneously, then the labourers are no longer able to protect themselves by switching jobs.</p>	Harari, Yuval Noah	yuval-noah-harari	Yuval_Noah_Harari	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Sapiens: A Brief History of Humankind</cite>, <span class='publisher'>Harper Collins</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0062316095/portablewisdo-20' class='isbn'>0062316095</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Yuval Noah Harari</span>
Daily Acts of Trivia	Robert Heinlein		progress			unknown	unknown									2012-07-23 19:17:01	In the absence of clearly defined goals, we become strangely loyal to performing daily acts of trivia.	<p>In the absence of clearly defined goals, we become strangely loyal to performing daily acts of trivia.</p>	Heinlein, Robert	robert-heinlein	Robert_Heinlein		
Defending the pursuit of learning	John F. Kennedy	May 18, 1963	education			90th Anniversary Convocation of Vanderbilt University	Speech		https://www.jfklibrary.org/Research/Research-Aids/JFK-Speeches/Vanderbilt-University_19630518.aspx							2017-03-26 13:18:19	If the pursuit of learning is not defended by the educated citizen, it will not be defended at all. For there will always be those who scoff at intellectuals, who cry out against research, who seek to limit our educational system. Modern cynics and skeptics see no more reason for landing a man on the moon, which we shall do, than the cynics and skeptics of half a millennium ago saw for the discovery of this country. They see no harm in paying those to whom they entrust the minds of their children a smaller wage than is paid to those to whom they entrust the care of their plumbing. But the educated citizen knows how much more there is to know. He knows that "knowledge is power," more so today than ever before. He knows that only an educated and informed people will be a free people, that the ignorance of one voter in a democracy impairs the security of all, and that if we can, as Jefferson put it, "enlighten the people generally ... tyranny and the oppressions of mind and body will vanish, like evil spirits at the dawn of day." And, therefore, the educated citizen has a special obligation to encourage the pursuit of learning, to promote exploration of the unknown, to preserve the freedom of inquiry, to support the advancement of research, and to assist at every level of government the improvement of education for all Americans, from grade school to graduate school.	<p>If the pursuit of learning is not defended by the educated citizen, it will not be defended at all. For there will always be those who scoff at intellectuals, who cry out against research, who seek to limit our educational system. Modern cynics and skeptics see no more reason for landing a man on the moon, which we shall do, than the cynics and skeptics of half a millennium ago saw for the discovery of this country. They see no harm in paying those to whom they entrust the minds of their children a smaller wage than is paid to those to whom they entrust the care of their plumbing.</p> <p>But the educated citizen knows how much more there is to know. He knows that &ldquo;knowledge is power,&rdquo; more so today than ever before. He knows that only an educated and informed people will be a free people, that the ignorance of one voter in a democracy impairs the security of all, and that if we can, as Jefferson put it, &ldquo;enlighten the people generally &hellip; tyranny and the oppressions of mind and body will vanish, like evil spirits at the dawn of day.&rdquo; And, therefore, the educated citizen has a special obligation to encourage the pursuit of learning, to promote exploration of the unknown, to preserve the freedom of inquiry, to support the advancement of research, and to assist at every level of government the improvement of education for all Americans, from grade school to graduate school.</p>	Kennedy, John F.	john-f.-kennedy	John_F._Kennedy	the <span class='sourcetype'>Speech</span> <cite class='majortitle'><a href='https://www.jfklibrary.org/Research/Research-Aids/JFK-Speeches/Vanderbilt-University_19630518.aspx' rel='source'>90th Anniversary Convocation of Vanderbilt University</a></cite>	
Nordic societies have simply taken the job of government seriously	Anu Partanen	2016	governance			The Nordic Theory of Everything: In Search of a Better Life	Book			0062316540				Harper		2017-02-21 11:12:26	Overall the secret to Nordic success is not complicated. Nordic societies have simply taken the job of government seriously. They make mistakes and have their troubles, but they keep tweaking their systems in search of improvements, and they work hard to balance the books. They prove that there is nothing inherent in government that automatically makes it less efficient for arranging social services than the private sector. 	<p>Overall the secret to Nordic success is not complicated. Nordic societies have simply taken the job of government seriously. They make mistakes and have their troubles, but they keep tweaking their systems in search of improvements, and they work hard to balance the books. They prove that there is nothing inherent in government that automatically makes it less efficient for arranging social services than the private sector.</p>	Partanen, Anu	anu-partanen	Anu_Partanen	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Nordic Theory of Everything: In Search of a Better Life</cite>, <span class='publisher'>Harper</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0062316540/portablewisdo-20' class='isbn'>0062316540</a> 	
Imagination is not a means of making money	Ursula K. Le Guin	2016	humanism			Words Are My Matter	Book			1618731343						2017-04-21 08:53:54	In America the imagination is generally looked on as something that might be useful when the TV is out of order. Poetry and plays have no relation to practical politics. Novels are for students, housewives, and other people who don't work. Fantasy is for children and primitive peoples. Literacy is so you can read the operating instructions. I think the imagination is the single most useful tool mankind possesses. It beats the opposable thumb. I can imagine living without my thumbs, but not without my imagination. I hear voices agreeing with me. "Yes, yes!" they cry. "The creative imagination is a tremendous plus in business! We value creativity, we reward it!" In the marketplace, the word creativity has come to mean the generation of ideas applicable to practical strategies to make larger profits. This reduction has gone on so long that the word creative can hardly be degraded further. I don't use it any more, yielding it to capitalists and academics to abuse as they like. But they can't have imagination. Imagination is not a means of making money. It has no place in the vocabulary of profit-making. It is not a weapon, though all weapons originate from it, and their use, or non-use, depends on it, as with all tools and their uses. The imagination is an essential tool of the mind, a fundamental way of thinking, an indispensable means of becoming and remaining human.	<p>In America the imagination is generally looked on as something that might be useful when the TV is out of order. Poetry and plays have no relation to practical politics. Novels are for students, housewives, and other people who don&rsquo;t work. Fantasy is for children and primitive peoples. Literacy is so you can read the operating instructions. I think the imagination is the single most useful tool mankind possesses. It beats the opposable thumb. I can imagine living without my thumbs, but not without my imagination.</p> <p>I hear voices agreeing with me. &ldquo;Yes, yes!&rdquo; they cry. &ldquo;The creative imagination is a tremendous plus in business! We value creativity, we reward it!&rdquo; In the marketplace, the word creativity has come to mean the generation of ideas applicable to practical strategies to make larger profits. This reduction has gone on so long that the word creative can hardly be degraded further. I don&rsquo;t use it any more, yielding it to capitalists and academics to abuse as they like. But they can&rsquo;t have imagination.</p> <p>Imagination is not a means of making money. It has no place in the vocabulary of profit-making. It is not a weapon, though all weapons originate from it, and their use, or non-use, depends on it, as with all tools and their uses. The imagination is an essential tool of the mind, a fundamental way of thinking, an indispensable means of becoming and remaining human.</p>	Guin, Ursula K. Le	ursula-k.-le-guin	Ursula_K._Le_Guin	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Words Are My Matter</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1618731343/portablewisdo-20' class='isbn'>1618731343</a> 	
Wriggling	E. M. Forster	1936	individuals			Abinger Harvest	Book	Our Diversions		0156026104						2007-04-10 15:11:35	Failure or success seem to have been allotted to men by their stars. But they retain the power of wriggling, of fighting with their star or against it, and in the whole universe the only really interesting movement is this wriggle.	<p>Failure or success seem to have been allotted to men by their stars. But they retain the power of wriggling, of fighting with their star or against it, and in the whole universe the only really interesting movement is this wriggle.</p>	Forster, E. M.	e.-m.-forster	E._M._Forster	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Abinger Harvest</cite>, <cite class='minortitle'>&#8220;Our Diversions&#8221;</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0156026104/portablewisdo-20' class='isbn'>0156026104</a> 	
The Makers of Things	Barack Obama	2009	cultural evolution, individuals, progress			2009 Inaugral Address	Speech		http://www.whitehouse.gov/blog/inaugural-address/							2009-04-02 19:50:16	In reaffirming the greatness of our nation, we understand that greatness is never a given. It must be earned. Our journey has never been one of shortcuts or settling for less. It has not been the path for the faint-hearted -- for those who prefer leisure over work, or seek only the pleasures of riches and fame. Rather, it has been the risk-takers, the doers, the makers of things -- some celebrated but more often men and women obscure in their labor, who have carried us up the long, rugged path towards prosperity and freedom.	<p>In reaffirming the greatness of our nation, we understand that greatness is never a given. It must be earned. Our journey has never been one of shortcuts or settling for less. It has not been the path for the faint-hearted &ndash; for those who prefer leisure over work, or seek only the pleasures of riches and fame. Rather, it has been the risk-takers, the doers, the makers of things &ndash; some celebrated but more often men and women obscure in their labor, who have carried us up the long, rugged path towards prosperity and freedom.</p>	Obama, Barack	barack-obama	Barack_Obama	the <span class='sourcetype'>Speech</span> <cite class='majortitle'><a href='http://www.whitehouse.gov/blog/inaugural-address/' rel='source'>2009 Inaugral Address</a></cite>	
ESPN president meets Steve Jobs	Tom Shales and James Andrew Miller	2011	critical thinking, equality			Those Guys Have All the Fun: Inside the World of ESPN	unknown			0316043001				Little, Brown and Company		2011-08-01 12:42:03	The story goes that ESPN president George Bodenheimer attended the first Disney board meeting in Orlando, Florida, just after the company had bought Pixar, the innovative animation factory, and spotted Apple CEO Steve Jobs in a hallway. It seemed like a good time to introduce himself. "I am George Bodenheimer," he said to Jobs. "I run ESPN." Jobs just looked at him and said nothing other than "Your phone is the dumbest fucking idea I have ever heard," then turned and walked away.	<p>The story goes that ESPN president George Bodenheimer attended the first Disney board meeting in Orlando, Florida, just after the company had bought Pixar, the innovative animation factory, and spotted Apple CEO Steve Jobs in a hallway. It seemed like a good time to introduce himself. &ldquo;I am George Bodenheimer,&rdquo; he said to Jobs. &ldquo;I run ESPN.&rdquo; Jobs just looked at him and said nothing other than &ldquo;Your phone is the dumbest fucking idea I have ever heard,&rdquo; then turned and walked away.</p>	Shales, Tom and Miller, James Andrew	tom-shales-and-james-andrew-miller	Tom_Shales_and_James_Andrew_Miller	<cite class='majortitle'>Those Guys Have All the Fun: Inside the World of ESPN</cite>, <span class='publisher'>Little, Brown and Company</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0316043001/portablewisdo-20' class='isbn'>0316043001</a> 	
The Arc of History	Martin Luther King Jr.		cultural evolution, equality			unknown	unknown									2006-11-30 14:29:31	The arc of history is long, but it bends towards justice.	<p>The arc of history is long, but it bends towards justice.</p>	King Jr., Martin Luther	martin-luther-king-jr.	Martin_Luther_King_Jr.		
We Must Respect the Other Fellow's Religion	H. L. Mencken	1956	critical thinking, equality, religion			Minority Report : H.L. Mencken”s Notebooks	Book			0801856582				The Johns Hopkins University Press		2008-07-30 19:37:55	We must respect the other fellow's religion, but only in the sense and to the extent that we respect his theory that his wife is beautiful and his children smart.	<p>We must respect the other fellow&rsquo;s religion, but only in the sense and to the extent that we respect his theory that his wife is beautiful and his children smart.</p>	Mencken, H. L.	h.-l.-mencken	H._L._Mencken	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Minority Report : H.L. Mencken”s Notebooks</cite>, <span class='publisher'>The Johns Hopkins University Press</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0801856582/portablewisdo-20' class='isbn'>0801856582</a> 	
A book is a man's best friend	Groucho Marx		written word			unknown	unknown									2008-07-30 19:48:15	Outside of a dog, a book is a man's best friend. Inside of a dog, it's too dark to read.	<p>Outside of a dog, a book is a man&rsquo;s best friend.</p> <p>Inside of a dog, it&rsquo;s too dark to read.</p>	Marx, Groucho	groucho-marx	Groucho_Marx		
The Challenge of Swing	Wynton Marsalis	2008	connection, liberty			Moving to Higher Ground: How Jazz Can Change Your Life	Book			1400060788	40	Copyright	Wynton Marsalis Enterprises	Random House	New York	2008-10-07 18:07:48	Swing--the dance and the music--bespeaks the flexible nature of American life. In jazz, the bass walks a note on every beat. The drummer rides the cymbal or plays brushes on every beat. And everybody else invents melodies and sounds that sway with, against, and upside every beat. Every beat requires musicians to reassess their relationships to one another. This is what makes swinging so challenging. You are forced to be constantly aware of other people's feelings.	<p>Swing&ndash;the dance and the music&ndash;bespeaks the flexible nature of American life. In jazz, the bass walks a note on every beat. The drummer rides the cymbal or plays brushes on every beat. And everybody else invents melodies and sounds that sway with, against, and upside every beat. Every beat requires musicians to reassess their relationships to one another. This is what makes swinging so challenging. You are forced to be constantly aware of other people&rsquo;s feelings.</p>	Marsalis, Wynton	wynton-marsalis	Wynton_Marsalis	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Moving to Higher Ground: How Jazz Can Change Your Life</cite>, <span class='city'>New York</span>: <span class='publisher'>Random House</span>, page&nbsp;<span class='pages'>40</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1400060788/portablewisdo-20' class='isbn'>1400060788</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Wynton Marsalis Enterprises</span>
The difference between construction and creation	G. K. Chesterton	1911	love			Appreciations and Criticisms of the Works of Charles Dickens	unknown	Pickwick Papers								2011-04-22 06:08:09	The whole difference between construction and creation is exactly this: that a thing constructed can only be loved after it is constructed; but a thing created is loved before it exists, as the mother can love the unborn child. 	<p>The whole difference between construction and creation is exactly this: that a thing constructed can only be loved after it is constructed; but a thing created is loved before it exists, as the mother can love the unborn child.</p>	Chesterton, G. K.	g.-k.-chesterton	G._K._Chesterton	<cite class='majortitle'>Appreciations and Criticisms of the Works of Charles Dickens</cite>, <cite class='minortitle'>&#8220;Pickwick Papers&#8221;</cite>	
The Columbia Disaster	Dennis Stauffer	2005	critical thinking, equality			Thinking Clockwise: A Field Guide for the Innovative Leader	Book			0964042932		Copyright	Dennis Stauffer			2008-06-01 10:06:31	Dr. Sally Ride, the first American woman in space and a member of the investigating board, believes that the Columbia tragedy and the 1986 Challenger Space Shuttle disaster resulted from the same mindset, saying: '(NASA) managers...did not grab onto this problem and insist on an answer. It was really quite the opposite. They assumed they knew the answer. They assumed the foam was not going to be a problem. And they were insisting that people disprove the preconception they had.'	<p>Dr. Sally Ride, the first American woman in space and a member of the investigating board, believes that the Columbia tragedy and the 1986 Challenger Space Shuttle disaster resulted from the same mindset, saying: &lsquo;(NASA) managers&hellip;did not grab onto this problem and insist on an answer. It was really quite the opposite. They assumed they knew the answer. They assumed the foam was not going to be a problem. And they were insisting that people disprove the preconception they had.&rsquo;</p>	Stauffer, Dennis	dennis-stauffer	Dennis_Stauffer	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Thinking Clockwise: A Field Guide for the Innovative Leader</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0964042932/portablewisdo-20' class='isbn'>0964042932</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Dennis Stauffer</span>
Living with the strains of complexity	Daniel Patrick Moynihan	1972	governance			The Schism in Black America										2018-01-29 13:11:31	Political society wants things simple. Political scientists know them to be complex... One could argue that, in part, the leftist impulse is so conspicuous among the educated and well-to-do precisely because they are exposed to more information, and are accordingly forced to choose between living with the strains of complexity, or lapsing into simplism.	<p>Political society wants things simple. Political scientists know them to be complex&hellip; One could argue that, in part, the leftist impulse is so conspicuous among the educated and well-to-do precisely because they are exposed to more information, and are accordingly forced to choose between living with the strains of complexity, or lapsing into simplism.</p>	Moynihan, Daniel Patrick	daniel-patrick-moynihan	Daniel_Patrick_Moynihan	<cite class='majortitle'>The Schism in Black America</cite>	
